"FID","AREA_S_CD","AREA_NAME","Neighbourhood","Arsons","Assaults","Break & Enters","Drug Arrests","Fire Medical Calls","Fire Vehicle Incidents","Fires & Fire Alarms","Hazardous Incidents","Murders","Robberies","Sexual Assaults","Thefts","Total Major Crime Incidents","Vehicle Thefts","id","Equity_Score"
58,"008","Humber Heights-Westmount (8)","Humber Heights-Westmount",1,41,28,12,512,37,165,64,0,15,1,1,106,8,"008",65.84
19,"021","Humber Summit (21)","Humber Summit",0,98,76,11,566,117,208,73,1,30,8,6,289,59,"021",56.13
20,"022","Humbermede (22)","Humbermede",2,131,58,35,329,98,74,49,0,40,34,2,345,45,"022",34.3
10,"106","Humewood-Cedarvale (106)","Humewood-Cedarvale",0,72,26,18,273,6,119,94,0,4,5,4,139,10,"106",36.09
27,"125","Ionview (125)","Ionview",0,81,32,17,402,27,84,45,1,14,17,0,173,11,"125",73.94
11,"014","Islington-City Centre West (14)","Islington-City Centre West",3,268,207,71,1616,374,625,249,1,58,37,23,853,188,"014",35.73
28,"090","Junction Area (90)","Junction Area",2,143,57,40,501,83,199,111,0,15,14,3,304,32,"090",62.51
47,"110","Keelesdale-Eglinton West (110)","Keelesdale-Eglinton West",0,125,58,24,340,32,89,58,0,39,15,1,283,21,"110",64.27
43,"124","Kennedy Park (124)","Kennedy Park",0,225,78,48,805,97,280,105,0,59,20,8,461,23,"124",40.14
51,"078","Kensington-Chinatown (78)","Kensington-Chinatown",3,369,166,197,1568,134,494,146,1,68,25,14,869,29,"078",42.38
44,"006","Kingsview Village-The Westway (6)","Kingsview Village-The Westway",0,134,59,47,680,186,244,117,1,32,22,8,351,48,"006",50.7
52,"015","Kingsway South (15)","Kingsway South",0,37,29,6,251,18,112,54,0,30,1,2,120,15,"015",41.76
83,"117","L'Amoreaux (117)","L'Amoreaux",1,116,112,35,944,116,307,118,1,67,8,7,367,21,"117",86.19
92,"114","Lambton Baby Point (114)","Lambton Baby Point",1,28,20,8,207,9,59,49,2,12,2,1,81,8,"114",50.78
2,"038","Lansing-Westgate (38)","Lansing-Westgate",0,70,46,13,432,114,159,97,0,10,19,4,186,24,"038",66.36
127,"105","Lawrence Park North (105)","Lawrence Park North",1,33,56,2,290,28,104,138,0,13,4,6,141,27,"105",76.15
119,"103","Lawrence Park South (103)","Lawrence Park South",0,30,109,8,214,32,228,149,0,9,5,4,191,26,"103",92.05
138,"056","Leaside-Bennington (56)","Leaside-Bennington",0,40,63,5,326,59,150,132,0,32,6,8,178,24,"056",90.12
132,"084","Little Portugal (84)","Little Portugal",0,137,77,37,444,27,129,70,0,16,12,7,296,10,"084",85.82
121,"019","Long Branch (19)","Long Branch",0,78,41,13,327,22,103,56,0,12,21,2,184,17,"019",60.04
122,"132","Malvern (132)","Malvern",2,319,118,81,979,174,283,161,2,118,37,3,729,51,"132",56.26
124,"029","Maple Leaf (29)","Maple Leaf",0,37,29,9,303,72,85,29,0,19,10,0,117,13,"029",43.89
125,"012","Markland Wood (12)","Markland Wood",0,42,24,10,251,50,71,26,0,20,3,0,113,14,"012",50.72
135,"130","Milliken (130)","Milliken",2,79,124,5,425,89,183,43,0,32,3,15,325,67,"130",74.88
129,"017","Mimico (includes Humber Bay Shores) (17)","Mimico",0,201,139,52,914,156,378,172,0,16,14,9,466,35,"017",56.85
130,"135","Morningside (135)","Morningside",4,161,47,24,457,61,216,99,0,51,27,1,330,19,"135",62.36
131,"073","Moss Park (73)","Moss Park",6,371,116,302,1824,111,805,215,0,64,36,5,921,27,"073",36.89
62,"115","Mount Dennis (115)","Mount Dennis",0,135,53,48,445,53,220,61,1,33,16,2,302,14,"115",50.11
98,"002","Mount Olive-Silverstone-Jamestown (2)","Mount Olive-Silverstone-Jamestown",3,316,61,90,1016,59,361,176,1,78,75,7,690,62,"002",26.39
100,"099","Mount Pleasant East (99)","Mount Pleasant East",1,51,52,9,405,52,150,99,0,6,5,5,135,7,"099",29.29
101,"104","Mount Pleasant West (104)","Mount Pleasant West",0,164,93,24,957,54,376,142,0,35,19,2,355,18,"104",86.04
105,"018","New Toronto (18)","New Toronto",0,137,69,42,543,45,223,83,0,37,8,0,321,28,"018",76.39
134,"050","Newtonbrook East (50)","Newtonbrook East",0,114,116,5,822,122,190,79,1,11,10,3,275,15,"050",53.21
66,"036","Newtonbrook West (36)","Newtonbrook West",0,140,127,19,631,48,147,108,0,45,17,8,392,36,"036",65.18
67,"082","Niagara (82)","Niagara",0,241,46,64,598,103,401,124,0,16,25,8,417,17,"082",56.07
31,"068","North Riverdale (68)","North Riverdale",0,227,79,27,624,46,129,75,0,40,19,0,402,10,"068",72.54
72,"074","North St.James Town (74)","North St.James Town",0,123,97,38,692,36,366,152,0,28,9,16,326,15,"074",81.21
48,"054","O'Connor-Parkview (54)","O'Connor-Parkview",0,264,43,34,603,47,205,125,0,25,21,7,409,15,"054",47.55
73,"121","Oakridge (121)","Oakridge",4,169,91,55,498,50,188,97,0,30,13,4,376,14,"121",48.67
75,"107","Oakwood Village (107)","Oakwood Village",1,165,56,37,622,40,141,117,0,18,14,1,307,16,"107",28.57
49,"058","Old East York (58)","Old East York",0,55,31,22,306,98,73,64,0,11,3,4,134,8,"058",57.33
106,"080","Palmerston-Little Italy (80)","Palmerston-Little Italy",1,123,57,25,395,67,149,99,0,18,18,4,261,16,"080",65.61
107,"045","Parkwoods-Donalda (45)","Parkwoods-Donalda",1,177,106,34,895,233,254,151,0,51,10,4,423,41,"045",72.19
108,"023","Pelmo Park-Humberlea (23)","Pelmo Park-Humberlea",1,63,37,43,347,186,115,42,0,39,5,6,222,29,"023",53.79
109,"067","Playter Estates-Danforth (67)","Playter Estates-Danforth",2,62,33,17,363,47,104,45,0,18,9,4,146,3,"067",53.79
